unit,tra_meas,tra_cov,schedule,geography,date,value
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2018,996295411.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2018,1105945842.0
PAS,PAS_CRD,TOTAL,TOT,FI,2018,22173530.0
PAS,PAS_CRD,TOTAL,TOT,FR,2018,161991179.0
PAS,PAS_CRD,TOTAL,TOT,HR,2018,9731294.0
PAS,PAS_CRD,TOTAL,TOT,HU,2018,15176493.0
PAS,PAS_CRD,TOTAL,TOT,IE,2018,36345005.0
PAS,PAS_CRD,TOTAL,TOT,IS,2018,10166386.0
PAS,PAS_CRD,TOTAL,TOT,IT,2018,153352444.0
PAS,PAS_CRD,TOTAL,TOT,LT,2018,6254178.0
PAS,PAS_CRD,TOTAL,TOT,LU,2018,3988804.0
PAS,PAS_CRD,TOTAL,TOT,LV,2018,7037070.0
PAS,PAS_CRD,TOTAL,TOT,ME,2018,2440486.0
PAS,PAS_CRD,TOTAL,TOT,MK,2018,2152746.0
PAS,PAS_CRD,TOTAL,TOT,MT,2018,6805817.0
PAS,PAS_CRD,TOTAL,TOT,NL,2018,79644163.0
PAS,PAS_CRD,TOTAL,TOT,NO,2018,40030105.0
PAS,PAS_CRD,TOTAL,TOT,PL,2018,43767548.0
PAS,PAS_CRD,TOTAL,TOT,PT,2018,51018598.0
PAS,PAS_CRD,TOTAL,TOT,RO,2018,19809642.0
PAS,PAS_CRD,TOTAL,TOT,RS,2018,5521250.0
PAS,PAS_CRD,TOTAL,TOT,SE,2018,38945096.0
PAS,PAS_CRD,TOTAL,TOT,SI,2018,1810567.0
PAS,PAS_CRD,TOTAL,TOT,SK,2018,2794094.0
PAS,PAS_CRD,TOTAL,TOT,UK,2018,272190155.0
PAS,PAS_CRD,TOTAL,TOT,AT,2019,35644188.0
PAS,PAS_CRD,TOTAL,TOT,BE,2019,35385188.0
PAS,PAS_CRD,TOTAL,TOT,BG,2019,11713068.0
PAS,PAS_CRD,TOTAL,TOT,CH,2019,57194328.0
PAS,PAS_CRD,TOTAL,TOT,CY,2019,11261410.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2019,18832696.0
PAS,PAS_CRD,TOTAL,TOT,DE,2019,226764086.0
PAS,PAS_CRD,TOTAL,TOT,DK,2019,34780127.0
PAS,PAS_CRD,TOTAL,TOT,EE,2019,3258003.0
PAS,PAS_CRD,TOTAL,TOT,EL,2019,56088527.0
PAS,PAS_CRD,TOTAL,TOT,ES,2019,227189012.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2019,1143737050.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2019,1034179773.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2019,1146442417.0
PAS,PAS_CRD,TOTAL,TOT,FI,2019,23287929.0
PAS,PAS_CRD,TOTAL,TOT,FR,2019,168729932.0
PAS,PAS_CRD,TOTAL,TOT,HR,2019,10623239.0
PAS,PAS_CRD,TOTAL,TOT,HU,2019,16700750.0
PAS,PAS_CRD,TOTAL,TOT,IE,2019,37947510.0
PAS,PAS_CRD,TOTAL,TOT,IS,2019,7584197.0
PAS,PAS_CRD,TOTAL,TOT,IT,2019,160667939.0
PAS,PAS_CRD,TOTAL,TOT,LT,2019,6504685.0
PAS,PAS_CRD,TOTAL,TOT,LU,2019,4365569.0
PAS,PAS_CRD,TOTAL,TOT,LV,2019,7785726.0
PAS,PAS_CRD,TOTAL,TOT,ME,2019,2652801.0
PAS,PAS_CRD,TOTAL,TOT,MK,2019,2353327.0
PAS,PAS_CRD,TOTAL,TOT,MT,2019,7318357.0
PAS,PAS_CRD,TOTAL,TOT,NL,2019,81192507.0
PAS,PAS_CRD,TOTAL,TOT,NO,2019,40348437.0
PAS,PAS_CRD,TOTAL,TOT,PL,2019,46942771.0
PAS,PAS_CRD,TOTAL,TOT,PT,2019,55007894.0
PAS,PAS_CRD,TOTAL,TOT,RO,2019,21546204.0
PAS,PAS_CRD,TOTAL,TOT,RS,2019,6450643.0
PAS,PAS_CRD,TOTAL,TOT,SE,2019,37614259.0
PAS,PAS_CRD,TOTAL,TOT,SI,2019,1719039.0
PAS,PAS_CRD,TOTAL,TOT,SK,2019,2839787.0
